               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 141,            0.029271,            0.061911,           0.0066723,              0.9599,             0.94022,             0.96786,             0.84101,            0.021465,            0.080549,           0.0048081,           0.0098614,           0.0098614,           0.0098614
                 142,            0.030063,            0.063035,           0.0066749,             0.95562,             0.95814,             0.96541,             0.83004,            0.021208,            0.078451,           0.0047009,           0.0098604,           0.0098604,           0.0098604
                 143,            0.030355,            0.063245,            0.006747,             0.96495,             0.94044,             0.97245,             0.83173,            0.021279,            0.077924,           0.0047458,           0.0098594,           0.0098594,           0.0098594
                 144,            0.030008,            0.061724,           0.0065222,             0.95848,             0.94603,             0.97043,              0.8323,            0.021134,            0.078922,            0.004682,           0.0098584,           0.0098584,           0.0098584
                 145,            0.030114,            0.063545,           0.0067452,             0.95384,             0.95542,             0.97648,             0.84303,            0.020899,            0.076589,           0.0045719,           0.0098574,           0.0098574,           0.0098574
                 146,            0.029738,            0.063747,           0.0065148,              0.9676,             0.96103,             0.97438,              0.8469,             0.02104,             0.07524,           0.0046977,           0.0098565,           0.0098565,           0.0098565
                 147,            0.030051,            0.063892,           0.0065692,             0.95996,             0.93823,             0.97227,             0.83489,            0.021099,            0.075987,           0.0050332,           0.0098555,           0.0098555,           0.0098555
                 148,            0.030473,            0.064517,            0.006757,             0.95659,             0.95435,             0.96969,             0.83162,            0.021084,            0.073435,           0.0054207,           0.0098545,           0.0098545,           0.0098545
                 149,            0.029986,            0.063783,           0.0065515,             0.95759,             0.95153,             0.97227,             0.83731,            0.020938,            0.075278,           0.0050367,           0.0098535,           0.0098535,           0.0098535
                 150,            0.029844,            0.062701,           0.0064378,             0.97001,             0.95252,             0.97403,             0.84847,            0.020741,            0.074988,           0.0043188,           0.0098525,           0.0098525,           0.0098525
                 151,             0.02957,            0.063102,           0.0065667,             0.97337,             0.95692,             0.96771,             0.83995,            0.021073,            0.076942,           0.0048631,           0.0098515,           0.0098515,           0.0098515
                 152,            0.029828,            0.062797,            0.006588,              0.9602,             0.95205,             0.96987,             0.83914,            0.021066,            0.080223,           0.0047884,           0.0098505,           0.0098505,           0.0098505
                 153,            0.029995,            0.063971,           0.0065641,             0.95971,              0.9477,             0.97527,             0.83741,            0.020945,               0.076,           0.0053552,           0.0098495,           0.0098495,           0.0098495
